date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:54	35649/35649	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:54%20GMT	https://read-claymore-online.com/manga/claymore-chapter-126/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-126/index.html	(from https://read-claymore-online.com/)
22:45:54	30805/30805	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:54%20GMT	https://read-claymore-online.com/manga/claymore-chapter-125-5/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-125-5/index.html	(from https://read-claymore-online.com/)
22:45:55	38495/38495	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:54%20GMT	https://read-claymore-online.com/manga/claymore-chapter-125/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-125/index.html	(from https://read-claymore-online.com/)
22:45:55	39269/39269	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:55%20GMT	https://read-claymore-online.com/manga/claymore-chapter-124/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-124/index.html	(from https://read-claymore-online.com/)
22:45:56	35634/35634	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:55%20GMT	https://read-claymore-online.com/manga/claymore-chapter-122/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-122/index.html	(from https://read-claymore-online.com/)
22:45:56	38100/38100	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:55%20GMT	https://read-claymore-online.com/manga/claymore-chapter-121/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-121/index.html	(from https://read-claymore-online.com/)
22:45:56	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:56%20GMT	https://read-claymore-online.com/manga/claymore-chapter-120/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-120/index.html	(from https://read-claymore-online.com/)
22:45:57	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:56%20GMT	https://read-claymore-online.com/manga/claymore-chapter-119/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-119/index.html	(from https://read-claymore-online.com/)
22:45:57	39633/39633	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-117/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-117/index.html	(from https://read-claymore-online.com/)
22:45:57	39256/39256	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-118/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-118/index.html	(from https://read-claymore-online.com/)
22:45:58	38851/38851	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-116/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-116/index.html	(from https://read-claymore-online.com/)
22:45:58	39633/39633	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-115/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-115/index.html	(from https://read-claymore-online.com/)
22:45:59	39280/39280	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:58%20GMT	https://read-claymore-online.com/manga/claymore-chapter-114/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-114/index.html	(from https://read-claymore-online.com/)
22:45:59	38487/38487	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:58%20GMT	https://read-claymore-online.com/manga/claymore-chapter-113/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-113/index.html	(from https://read-claymore-online.com/)
22:45:59	40049/40049	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:59%20GMT	https://read-claymore-online.com/manga/claymore-chapter-112/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-112/index.html	(from https://read-claymore-online.com/)
22:46:14	36426/36426	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:59%20GMT	https://read-claymore-online.com/manga/claymore-chapter-111/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-111/index.html	(from https://read-claymore-online.com/)
22:46:15	40857/40857	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:45:59%20GMT	https://read-claymore-online.com/manga/claymore-chapter-110/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-110/index.html	(from https://read-claymore-online.com/)
22:46:15	40049/40049	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:00%20GMT	https://read-claymore-online.com/manga/claymore-chapter-109/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-109/index.html	(from https://read-claymore-online.com/)
22:46:15	39269/39269	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:00%20GMT	https://read-claymore-online.com/manga/claymore-chapter-108/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-108/index.html	(from https://read-claymore-online.com/)
22:46:31	39673/39673	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:15%20GMT	https://read-claymore-online.com/manga/claymore-chapter-107/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-107/index.html	(from https://read-claymore-online.com/)
22:46:31	38879/38879	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:16%20GMT	https://read-claymore-online.com/manga/claymore-chapter-106/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-106/index.html	(from https://read-claymore-online.com/)
22:46:32	40063/40063	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:16%20GMT	https://read-claymore-online.com/manga/claymore-chapter-105/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-105/index.html	(from https://read-claymore-online.com/)
22:46:32	38489/38489	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:16%20GMT	https://read-claymore-online.com/manga/claymore-chapter-104/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-104/index.html	(from https://read-claymore-online.com/)
22:46:32	36038/36038	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:32%20GMT	https://read-claymore-online.com/manga/claymore-chapter-103/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-103/index.html	(from https://read-claymore-online.com/)
22:46:33	38463/38463	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:33%20GMT	https://read-claymore-online.com/manga/claymore-chapter-102/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-102/index.html	(from https://read-claymore-online.com/)
22:46:33	40063/40063	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:33%20GMT	https://read-claymore-online.com/manga/claymore-chapter-101/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-101/index.html	(from https://read-claymore-online.com/)
22:46:33	39699/39699	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:33%20GMT	https://read-claymore-online.com/manga/claymore-chapter-100/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-100/index.html	(from https://read-claymore-online.com/)
22:46:34	36196/36196	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:33%20GMT	https://read-claymore-online.com/manga/claymore-chapter-99/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-99/index.html	(from https://read-claymore-online.com/)
22:46:34	40180/40180	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:34%20GMT	https://read-claymore-online.com/manga/claymore-chapter-98/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-98/index.html	(from https://read-claymore-online.com/)
22:46:35	38605/38605	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:34%20GMT	https://read-claymore-online.com/manga/claymore-chapter-97/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-97/index.html	(from https://read-claymore-online.com/)
22:46:35	38995/38995	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:34%20GMT	https://read-claymore-online.com/manga/claymore-chapter-96/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-96/index.html	(from https://read-claymore-online.com/)
22:46:35	39789/39789	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:35%20GMT	https://read-claymore-online.com/manga/claymore-chapter-95/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-95/index.html	(from https://read-claymore-online.com/)
22:46:36	38982/38982	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2019%20May%202020%2019:46:35%20GMT	https://read-claymore-online.com/manga/claymore-chapter-94/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-94/index.html	(from https://read-claymore-online.com/)
